net,length_um
_01213_,64.04
rf.RAM\[20\]\[21\],64.04
clknet_leaf_48_clock,63.92
clknet_leaf_93_clock,63.8
clknet_leaf_151_clock,63.8
clknet_leaf_103_clock,63.62
_01312_,63.52
clknet_leaf_42_clock,63.46
_01195_,63.4
clknet_leaf_199_clock,63.38
_04199_,63.32
clknet_leaf_115_clock,63.3
_01515_,63.14
_01680_,63.1
rf.RAM\[6\]\[3\],63.08
rf.RAM\[11\]\[22\],62.96
clknet_leaf_112_clock,62.84
_03544_,62.8
clknet_leaf_122_clock,62.66
_01203_,62.6
_01261_,62.56
_01354_,62.44
_03823_,62.42
alu.b\[20\],62.32
alu.b\[28\],62.28
_02868_,62.18
_01737_,62.1
clknet_leaf_92_clock,62.08
_03601_,62.04
rf.RAM\[19\]\[22\],61.94
clknet_leaf_158_clock,61.92
_01183_,61.6
_02755_,61.6
_04462_,61.58
_03405_,61.5
rf.RAM\[23\]\[10\],61.46
_04208_,61.24
_01570_,61.22
rf.RAM\[18\]\[2\],61.205
_01643_,61.06
clknet_leaf_143_clock,61.06
_01681_,60.96
clknet_leaf_166_clock,60.9
rf.RAM\[6\]\[4\],60.82
_01757_,60.8
_01327_,60.76
rf.RAM\[22\]\[2\],60.445
clknet_leaf_140_clock,60.42
rf.RAM\[17\]\[2\],60.18
_03103_,60.1
_04256_,60.1
clknet_leaf_15_clock,59.9
clknet_leaf_54_clock,59.9
clknet_leaf_214_clock,59.88
rf.RAM\[27\]\[12\],59.78
rf.RAM\[6\]\[14\],59.68
rf.RAM\[29\]\[3\],59.64
rf.RAM\[11\]\[5\],59.62
_01728_,59.54
_01404_,59.52
alu.a\[10\],59.52
rf.RAM\[21\]\[10\],59.38
_03725_,59.34
clknet_leaf_181_clock,59.24
clknet_leaf_123_clock,59.22
_03326_,59.2
_04561_,59.06
_01722_,58.92
clknet_leaf_189_clock,58.86
_04727_,58.82
clknet_leaf_39_clock,58.82
clknet_leaf_4_clock,58.78
clknet_leaf_89_clock,58.66
_02882_,58.6
_04657_,58.58
_03304_,58.48
_03327_,58.18
clknet_leaf_67_clock,58.14
clknet_leaf_59_clock,57.72
_01700_,57.64
clknet_leaf_41_clock,57.44
_01521_,57.32
clknet_leaf_97_clock,57.26
_02919_,57.12
_01221_,57.08
clknet_leaf_200_clock,57.04
_04671_,57
_03515_,56.9
_04615_,56.84
clknet_leaf_224_clock,56.82
clknet_leaf_203_clock,56.76
_01159_,56.52
rf.RAM\[27\]\[21\],56.46
clknet_leaf_169_clock,56.34
_02986_,56.08
_04502_,56.02
clknet_leaf_185_clock,55.94
_02803_,55.9
clknet_leaf_139_clock,55.86
alu.a\[12\],55.8
_02996_,55.74
_03354_,55.72
